City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,De Aar,ZA,2022-02-01 16:52:09,-30.6497,24.0123,67.57,83,100,6.73
53,Cabanas,CU,2022-02-01 16:52:11,22.9758,-82.9219,75.56,48,60,13.91
54,Kapaa,US,2022-02-01 16:52:11,22.0752,-159.319,64.72,94,40,6.91
55,Khatanga,RU,2022-02-01 16:52:12,71.9667,102.5,-34.91,100,20,3.51
56,Sheregesh,RU,2022-02-01 16:52:13,52.9209,87.9869,5.95,99,92,1.88
57,Aripuana,BR,2022-02-01 16:52:14,-9.1667,-60.6333,83.64,69,100,2.26
58,Energeticheskiy,KZ,2022-02-01 16:52:14,43.4278,77.0222,27.16,86,100,4.47
59,Morant Bay,JM,2022-02-01 16:52:15,17.8815,-76.4093,84.61,69,23,9.33
60,Ilhabela,BR,2022-02-01 16:52:16,-23.7781,-45.3581,80.74,80,80,6.87
61,Beliu,RO,2022-02-01 16:52:16,46.4833,21.9833,33.82,98,99,3.36
62,Dawson Creek,CA,2022-02-01 16:52:17,55.7666,-120.2362,-7.96,77,0,3.44
63,Lubango,AO,2022-02-01 16:52:18,-14.9172,13.4925,78.66,19,20,11.5
64,Cape Town,ZA,2022-02-01 16:50:03,-33.9258,18.4232,80.89,52,25,1.99
65,Mitsamiouli,KM,2022-02-01 16:52:19,-11.3847,43.2844,82.69,78,40,5.75
66,Port Macquarie,AU,2022-02-01 16:52:20,-31.4333,152.9167,76.96,87,87,4.76
67,Nioki,CD,2022-02-01 16:52:20,-2.7167,17.6833,84.81,50,69,3.06
68,Biograd Na Moru,HR,2022-02-01 16:52:21,43.9433,15.4519,45.3,60,4,14.2
69,Puerto Narino,CO,2022-02-01 16:52:22,-3.7703,-70.3831,91.35,43,78,4.29
70,Floro,NO,2022-02-01 16:52:22,61.5996,5.0328,36.97,100,75,12.66
71,Burnie,AU,2022-02-01 16:52:23,-41.0667,145.9167,53.92,72,17,10.4
72,Atar,MR,2022-02-01 16:52:24,20.5169,-13.0499,89.71,8,88,16.49
73,Palmer,US,2022-02-01 16:52:25,42.1584,-72.3287,32.68,51,75,1.99
74,Coihaique,CL,2022-02-01 16:52:25,-45.5752,-72.0662,67.95,45,75,9.22
75,Husavik,IS,2022-02-01 16:52:26,66.0449,-17.3389,19.31,80,47,10.76
76,Mukhen,RU,2022-02-01 16:52:27,48.1,136.1,-1.52,97,100,3.18
77,Isangel,VU,2022-02-01 16:52:27,-19.55,169.2667,77.83,88,100,3.62
78,New Norfolk,AU,2022-02-01 16:52:28,-42.7826,147.0587,51.3,60,45,1.99
79,Talnakh,RU,2022-02-01 16:49:44,69.4865,88.3972,6.21,96,100,9.17
80,Patnongon,PH,2022-02-01 16:52:29,10.9132,121.9937,78.15,76,93,5.26
81,Chateaudun,FR,2022-02-01 16:52:30,48.0833,1.3333,50.14,95,100,12.59
82,Doha,QA,2022-02-01 16:52:19,25.2867,51.5333,67.98,64,0,13.8
83,Skjervoy,NO,2022-02-01 16:52:31,70.0311,20.9714,26.78,45,86,12.95
84,Cidreira,BR,2022-02-01 16:52:32,-30.1811,-50.2056,75.85,63,91,9.06
85,Zarya,RU,2022-02-01 16:52:32,55.7553,38.0958,30.58,94,100,9.22
86,Lebu,CL,2022-02-01 16:52:33,-37.6167,-73.65,66.33,67,0,11.81
87,Carnarvon,AU,2022-02-01 16:52:34,-24.8667,113.6333,77.07,83,43,20.71
88,Puerto Leguizamo,CO,2022-02-01 16:52:34,-0.1934,-74.7819,86.27,50,92,2.35
89,Esmeralda,CU,2022-02-01 16:52:35,21.8525,-78.1169,77.32,57,52,15.26
90,Ayia Galini,GR,2022-02-01 16:52:36,35.1,24.6833,59.95,78,98,1.01
91,Pereslavl-Zalesskiy,RU,2022-02-01 16:52:36,56.7393,38.8563,27.01,95,100,9.33
92,Kenai,US,2022-02-01 16:52:38,60.5544,-151.2583,17.65,75,100,21.85
93,Viedma,AR,2022-02-01 16:53:38,-40.8135,-62.9967,79.34,29,42,13.62
94,Fairbanks,US,2022-02-01 16:49:27,64.8378,-147.7164,-12.41,73,0,0.0
95,Upernavik,GL,2022-02-01 16:53:39,72.7868,-56.1549,-17.91,77,100,5.95
