City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
125,Bacolod,10.6667,122.95,75.18,83,94,10.49,PH,2022-02-06 18:50:11,overcast clouds
126,Tire,38.0888,27.7351,46.4,63,0,4.0,TR,2022-02-06 18:50:12,clear sky
127,Grindavik,63.8424,-22.4338,27.07,74,100,9.22,IS,2022-02-06 18:50:12,overcast clouds
128,Iqaluit,63.7506,-68.5145,-32.31,66,20,1.99,CA,2022-02-06 18:50:12,few clouds
129,Pisco,-13.7,-76.2167,72.01,83,40,10.36,PE,2022-02-06 18:50:13,mist
130,Kerema,-7.9631,145.7785,77.18,80,98,3.33,PG,2022-02-06 18:50:13,overcast clouds
131,Lipany,49.1538,20.9638,40.32,75,100,11.9,SK,2022-02-06 18:50:13,overcast clouds
132,Pangnirtung,66.1451,-65.7125,-31.0,68,75,0.0,CA,2022-02-06 18:50:13,broken clouds
133,Kaeo,-35.1,173.7833,73.33,98,100,4.65,NZ,2022-02-06 18:46:28,overcast clouds
134,Odweyne,9.4092,45.064,66.31,64,100,9.75,SO,2022-02-06 18:50:14,overcast clouds
135,Pemberton,50.3164,-122.8027,37.09,90,100,0.02,CA,2022-02-06 18:50:14,overcast clouds
136,Mayahi,13.9553,7.6712,70.84,11,0,10.8,NE,2022-02-06 18:51:14,clear sky
137,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,69,75,17.9,RU,2022-02-06 18:49:48,light shower snow
138,Micheweni,-4.9667,39.8333,80.4,83,100,4.09,TZ,2022-02-06 18:51:15,overcast clouds
139,Hamilton,39.1834,-84.5333,39.97,59,0,3.0,US,2022-02-06 18:51:15,clear sky
140,Kodiak,57.79,-152.4072,36.91,70,0,5.75,US,2022-02-06 18:51:01,clear sky
141,Gombong,-7.6072,109.5142,80.83,88,100,3.24,ID,2022-02-06 18:51:16,overcast clouds
142,Longyearbyen,78.2186,15.6401,17.44,67,40,18.41,SJ,2022-02-06 18:47:20,scattered clouds
